"county_id","control_name","control_id","county","large_area","large_area_group","lgarea_group"
53,"Fircrest",84,"Pierce","SW Pierce","SW Pierce","SW Pierce"
53,"Gig Harbor",92,"Pierce","Peninsula","Peninsula","Peninsula and Tacoma"
53,"JBLM",403,"Pierce","SW Pierce","SW Pierce","SW Pierce"
53,"Lakewood",79,"Pierce","SW Pierce","SW Pierce","SW Pierce"
53,"Mid-County Parkland-Spanaway-Midland South Hill",85,"Pierce","Pierce Other","Pierce Other (2)","Pierce Other (2)"
53,"Milton",93,"Pierce","Pierce Other","Pierce Other (1)","Pierce Other (1)"
53,"Orting",94,"Pierce","Pierce Other","Pierce Other (2)","Pierce Other (2)"
53,"Pacific",95,"Pierce","Pierce Other","Pierce Other (1)","Pierce Other (1)"
53,"Pierce Rural",124,"Pierce","Pierce Other","Pierce Other (2)","Pierce Other (2)"
53,"Pierce Rural Ag & Resource",303,"Pierce","Pierce Other","Pierce Other (2)","Pierce Other (2)"
53,"Pierce UGA",107,"Pierce","Pierce Other","Pierce Other (1)","Pierce Other (1)"
53,"Puyallup",80,"Pierce","Pierce Other","Pierce Other (2)","Pierce Other (2)"
53,"Roy",96,"Pierce","Pierce Other","Pierce Other (2)","Pierce Other (2)"
53,"Ruston",97,"Pierce","Tacoma","Tacoma","Peninsula and Tacoma"
53,"South Prairie",98,"Pierce","Pierce Other","Pierce Other (2)","Pierce Other (2)"
53,"Steilacoom",99,"Pierce","SW Pierce","SW Pierce","SW Pierce"
53,"Sumner",86,"Pierce","Pierce Other","Pierce Other (1)","Pierce Other (1)"
53,"Tacoma",77,"Pierce","Tacoma","Tacoma","Peninsula and Tacoma"
53,"University Place",81,"Pierce","SW Pierce","SW Pierce","SW Pierce"
53,"Wilkeson",100,"Pierce","Pierce Other","Pierce Other (2)","Pierce Other (2)"
61,"Arlington",128,"Snohomish","Everett","Everett","Everett"
61,"Arlington UGA",155,"Snohomish","Everett","Everett","Everett"
61,"Bothell",126,"Snohomish","SW Snohomish","SW Snohomish (2)","SW Snohomish (2)"
61,"Bothell MUGA",129,"Snohomish","SW Snohomish","SW Snohomish (2)","SW Snohomish (2)"
61,"Brier",143,"Snohomish","SW Snohomish","SW Snohomish (2)","SW Snohomish (2)"
61,"Brier MUGA",156,"Snohomish","SW Snohomish","SW Snohomish (2)","SW Snohomish (2)"
61,"Darrington",144,"Snohomish","Snohomish Other","Snohomish Other","Snohomish Other"
61,"Darrington UGA",157,"Snohomish","Snohomish Other","Snohomish Other","Snohomish Other"
61,"Edmonds",130,"Snohomish","SW Snohomish","SW Snohomish (1)","SW Snohomish (1)"
61,"Edmonds MUGA",131,"Snohomish","SW Snohomish","SW Snohomish (1)","SW Snohomish (1)"
61,"Everett",125,"Snohomish","Everett","Everett","Everett"
61,"Everett MUGA",132,"Snohomish","SW Snohomish","SW Snohomish (2)","SW Snohomish (2)"
61,"Gold Bar",145,"Snohomish","Snohomish Other","Snohomish Other","Snohomish Other"
61,"Gold Bar UGA",158,"Snohomish","Snohomish Other","Snohomish Other","Snohomish Other"
61,"Granite Falls",146,"Snohomish","Snohomish Other","Snohomish Other","Snohomish Other"
61,"Granite Falls UGA",159,"Snohomish","Snohomish Other","Snohomish Other","Snohomish Other"
61,"Index",147,"Snohomish","Snohomish Other","Snohomish Other","Snohomish Other"
61,"Lake Stevens",148,"Snohomish","Everett","Everett","Everett"
61,"Lake Stevens UGA",161,"Snohomish","Everett","Everett","Everett"
61,"Lake Stickney Gap",162,"Snohomish","SW Snohomish","SW Snohomish (2)","SW Snohomish (2)"
61,"Larch Way Overlap",133,"Snohomish","SW Snohomish","SW Snohomish (1)","SW Snohomish (1)"
61,"Lynnwood",127,"Snohomish","SW Snohomish","SW Snohomish (1)","SW Snohomish (1)"
61,"Lynnwood MUGA",135,"Snohomish","SW Snohomish","SW Snohomish (1)","SW Snohomish (1)"
61,"Maltby UGA",163,"Snohomish","SW Snohomish","SW Snohomish (2)","SW Snohomish (2)"
61,"Marysville",136,"Snohomish","Everett","Everett","Everett"
61,"Marysville UGA",164,"Snohomish","NW Snohomish","NW Snohomish","NW Snohomish"
61,"Mill Creek",138,"Snohomish","SW Snohomish","SW Snohomish (2)","SW Snohomish (2)"
61,"Mill Creek MUGA",139,"Snohomish","SW Snohomish","SW Snohomish (2)","SW Snohomish (2)"
61,"Monroe",149,"Snohomish","Snohomish Other","Snohomish Other","Snohomish Other"
61,"Monroe UGA",166,"Snohomish","Snohomish Other","Snohomish Other","Snohomish Other"
61,"Mountlake Terrace",140,"Snohomish","SW Snohomish","SW Snohomish (1)","SW Snohomish (1)"
61,"Mountlake Terrace MUGA",167,"Snohomish","SW Snohomish","SW Snohomish (1)","SW Snohomish (1)"
61,"Mukilteo",141,"Snohomish","SW Snohomish","SW Snohomish (1)","SW Snohomish (1)"
61,"Mukilteo MUGA",142,"Snohomish","SW Snohomish","SW Snohomish (1)","SW Snohomish (1)"
61,"Naval Station Everett",404,"Snohomish","Everett","Everett","Everett"
61,"Paine Field Area",168,"Snohomish","Everett","Everett","Everett"
61,"Silver Firs Gap",169,"Snohomish","SW Snohomish","SW Snohomish (2)","SW Snohomish (2)"
61,"Snohomish",150,"Snohomish","Everett","Everett","Everett"
61,"Snohomish Rural",176,"Snohomish","Snohomish Other","Snohomish Other","Snohomish Other"
61,"Snohomish Rural Ag & Resource",304,"Snohomish","Snohomish Other","Snohomish Other","Snohomish Other"
61,"Snohomish UGA",170,"Snohomish","Everett","Everett","Everett"
61,"Stanwood",151,"Snohomish","NW Snohomish","NW Snohomish","NW Snohomish"
61,"Stanwood UGA",172,"Snohomish","NW Snohomish","NW Snohomish","NW Snohomish"
61,"Sultan",152,"Snohomish","Snohomish Other","Snohomish Other","Snohomish Other"
61,"Sultan UGA",174,"Snohomish","Snohomish Other","Snohomish Other","Snohomish Other"
61,"Tulalip Tribe",210,"Snohomish","NW Snohomish","NW Snohomish","NW Snohomish"
61,"Woodway",153,"Snohomish","SW Snohomish","SW Snohomish (1)","SW Snohomish (1)"
61,"Woodway MUGA",175,"Snohomish","SW Snohomish","SW Snohomish (1)","SW Snohomish (1)"
