large_area,city_name,county_id,county,city_id,lgarea_group
SW Snohomish,Edmonds,61,Snohomish,79,SW Snohomish (1)
SW Snohomish,Lynnwood,61,Snohomish,85,SW Snohomish (1)
SW Snohomish,Mill Creek,61,Snohomish,87,SW Snohomish (2)
SW Snohomish,Mountlake Terrace,61,Snohomish,89,SW Snohomish (1)
SW Snohomish,Mukilteo,61,Snohomish,90,SW Snohomish (1)
SW Snohomish,Uninc Urban Snoh,61,Snohomish,96,SW Snohomish (2)
SW Snohomish,Woodway,61,Snohomish,97,SW Snohomish (1)
Seattle,Seattle,33,King,34,Seattle and Shoreline
Shoreline,Lake Forest Park,33,King,21,Seattle and Shoreline
Shoreline,Shoreline,33,King,35,Seattle and Shoreline
Snohomish Other,Darrington,61,Snohomish,78,Snohomish Other
Snohomish Other,Gold Bar,61,Snohomish,81,Snohomish Other
Snohomish Other,Granite Falls,61,Snohomish,82,Snohomish Other
Snohomish Other,Index,61,Snohomish,83,Snohomish Other
Snohomish Other,Monroe,61,Snohomish,88,Snohomish Other
Snohomish Other,Snohomish Rural,61,Snohomish,92,Snohomish Other
Snohomish Other,Sultan,61,Snohomish,94,Snohomish Other
South Kitsap,Port Orchard,35,Kitsap,45,"Central, North, and South Kitsap"
Tacoma,Fife,53,Pierce,57,Peninsula and Tacoma
Tacoma,Ruston,53,Pierce,67,Peninsula and Tacoma
Tacoma,Tacoma,53,Pierce,71,Peninsula and Tacoma
